"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Sector de Serveis Personals. Regidoria de Cultura","","Barcelona","","","1998-09-25","1998","Presentada al Plenari del Consell Municipal de 25-09-1998","","","application/pdf","3 p.","11360","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/96299","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Jaume I, rei de Catalunya-Aragó","Cultura i oci","mesures de govern","","750 aniversari dels privilegis atorgats a Jaume I a la ciutat de Barcelona : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2008-10-22","2008","Presentada a la Comissió Municipal de Presidència, Territori i Funció Publica de 22-10-2008. Citada a la Gaseta Municipal núm. 33 (10-12-2008 )","","","application/pdf","15 p.","8241","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84590","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell de Ciutat de Barcelona","Sector públic","mesures de govern","","Rol, organització i línies de futur del Consell de Ciutat de Barcelona : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","","","1998-04-22","1998","Presentada al Plenari del Consell Municipal de 22-04-1998","","","application/pdf","5 p.","11340","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84492","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aviació comercial. Aeroports","Transport","mesures de govern","","3ª Conferència Europea de Ciutats i Regions Aeroportuàries : mesura de govern","Conferència Europea de Ciutats i Regions Aeroportuàries (3a : 1998 : Barcelona)","text",""
"","Àrea de Drets Socials","","Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí. Marina del Prat Vermell (Barcelona : Barri)","","","2016-12-23","2016","Presentada al Plenari del Consell Municipal de 23-12-2016. Citada a la Gaseta Municipal de Barcelona, núm. 4 (10-02-2017), p. 911-916","","","application/pdf","16 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/100442","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa. Política social. Energia. Serveis socials","Energia. Societat i benestar","mesures de govern","","Creació dels Punts d'Assessorament Energètic i de garantia de subministraments bàsics (PAE) : mesura de govern","","text",""
"","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu","","","2016-10-08","2016-10-08","Presentada al Consell Plenari del Districte de Sant Andreu de 08-10-2015","","","application/pdf","3 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/98443","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Història. Districte 9. Sant Andreu. Organització i organigrames. Democràcia. Comissió de Treball sobre la Memòria Històrica del Districte de Sant Andreu","Cultura i oci","mesures de govern","","Creació d'una comissió de treball sobre la memòria històrica del Districte de Sant Andreu : mesura de govern","","text",""
"","Àrea d'Hàbitat Urbà","","Parc de Collserola (Barcelona). Collserola, Serra de (Catalunya)","","","2011-09-22","2011","Presentada a la Comissió d'Hàbitat Urbà i Medi Ambient de 22-09-2011. Citada a la Gaseta Municipal núm. 28 (30-10-2011)","","","application/pdf","31 p.","8271","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84703","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Ordenació del paisatge","Urbanisme i infraestructures","mesures de govern","","Esquema Director de les Portes de Collserola a Barcelona : mesura de govern","","text",""
"","Regidoria de Ciutat Sostenible. Sector de Manteniment i Serveis","","Barcelona","","","1997-04-29","1997","Presentada al Plenari del Consell Municipal de 29-04-1997","","","application/pdf","2 p.","11300","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/42967","cat","","","Reproducció digital del document en suport original","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desinfecció i desinfectants. Clor com a desinfectant. Neteja industrial. Política ambiental","Medi ambient","mesures de govern","","Mesura de govern en relació a l'ús de productes clorats en les activitats i dependències municipals","","text",""
"","Àrea d'Economia, Empresa i Ocupació","","Barcelona","","","2012-07-18","2012","Presentada a la Comissió d'Economia, Empresa i Ocupació de 18-07-2012. Citada a la Gaseta Municipal núm. 27 (10-10-2012)","","","application/pdf","21 p.","10264","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84691","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rehabilitació urbana. Subvencions. Establiments comercials","Comerç","mesures de govern","","Ajuts al comerç afectat per obres de llarga durada : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","","","1996-02-02","1996","Presentada al Plenari del Consell Municipal de 02-02-1996","","","application/pdf","2 p.","11250","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84476","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sunyol Garriga, Josep","Cultura i oci","mesures de govern","","Manifestació de l'Equip de Govern sobre l'homenatge d'en Josep Sunyol i Garriga : mesura de govern","","text",""
"","Àrea d'Empresa, Cultura i Innovació. Barcelona Activa, S.A.","","Barcelona. Districte 8. Nou Barris","2016. 2017. 2018. 2019","","2016-12-13","2016","Citada a la Gaseta Municipal de Barcelona, núm. 3 (30-01-2017), p. 690-693. Presentada a la Comissió d'Economia i Hisenda de 13-12-2016","","Programa Indústria Urbana i Prototipatge Industrial. Programa d'Obertura a l'Activitat Econòmica de Proximitat","application/pdf","15 p.","","","","societats mercantils","","Mandat 2015-","http://hdl.handle.net/11703/99337","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parc Tecnològic Barcelona Activa. Parcs tecnològics. Centres de negocis. Empreses. Innovacions tecnològiques. Desenvolupament econòmic. Política econòmica","Economia","mesures de govern. plans estratègics","Programa Indústria Urbana i Prototipatge Industrial 2016 - (Barcelona). Programa d'Obertura a l'Activitat Econòmica de Proximitat 2016- (Barcelona)","Parc Tecnològic Barcelona Activa: un espai de referència per a la ""Indústria Avançada"" a Barcelona : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2009-10-20","2009","Presentada a la Comissió de Cultura, Educació i Benestar Social del Consell Municipal de 20-10-2009. Citada a la Gaseta Municipal núm. 32 (10-12-2009)","","","application/pdf","39 p.","11089","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84605","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joves i esports. Esports per a infants","Esport","mesures de govern","","Promoció esportiva en edat escolar a la ciutat de Barcelona : mesura de govern","","text",""
"","Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2016. 2017. 2018. 2019","","2016-11-21","2016","Presentada al Consell Plenari del Districte de l'Eixample de 21-11-2016","","","application/pdf","43 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108614","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de l'Eixample (PAD) 2016-2019 (Barcelona)","Mesura de govern d'actuacions del Districte de l'Eixample","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Gerència de Recursos","","Barcelona","","","2014-02-18","2014","Presentada a la Comissió de Presidència, Règim Interior, Seguretat i Mobilitat de 18-02-2014. Citada a la Gaseta Municipal núm. 11 (10-04-2014)","","","application/pdf","7 p.","13029","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84739","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Subvencions. Transparència política","Sector públic","mesures de govern","","Millora de la transparència en la gestió de les subvencions de l'Ajuntament de Barcelona : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2010-10-29","2010","Presentada al Plenari del Consell Municipal de 29-10-2010. Citada a la Gaseta Municipal núm. 36 (30-12-2010)","","","application/pdf","8 p.","13648","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84617","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Animació sociocultural. Lleure. Vacances","Cultura i oci","mesures de govern","","Setmana Blanca a Barcelona : actuacions de l'Ajuntament de Barcelona adreçades a donar suport a les famílies durant la setmana de vacances escolars d'hivern : mesura de govern","","text",""
"","Sector d'Urbanisme i Infraestructures","","Barcelona","","","2006-03-24","2006","Presentada al Plenari del Consell Municipal de 24-03-2006. Citada a la Gaseta Municipal núm. 16 (30-05-2006)","Digitalitzada pel SEDAC","","application/pdf","28 p.","13484","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86267","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatges","Habitatge","mesures de govern. documents digitalitzats","","Promoció de nous habitatges protegits i dotacionals : mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia. Gràcia (Barcelona : Barri)","","","2014-03-04","2014","Presentada al Consell Plenari del Districte de Gràcia de 04-03-2014","","","application/pdf","7 p.","13248","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84811","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Motocicletes. Aparcaments","Transport","mesures de govern","","Mesura de govern sobre el Pla d'estacionament de motocicletes al barri de Vila de Gràcia","","text",""
"","Sector de Serveis Personals","","Barcelona","","","2004-06-18","2004","Presentada al Plenari del Consell Municipal de 18-06-2004. Citada a la Gaseta Municipal núm. 24 (10-09-2004)","","","application/pdf","1 p.","13234","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84535","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vilar, Pierre. Historiadors","Cultura i oci","mesures de govern","","Homenatge a l'historiador francès Pierre Villa : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","2000-11-24","2000","Presentada al Plenari del Consell Municipal de 24-11-1999. Citada a la Gaseta Municipal núm. 2 (20-01-2000)","","","application/pdf","2 p.","11407","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84841","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sida","Salut","mesures de govern","","Adhesió a la commemoració del dia 1 de desembre, com a Dia Mundial de la SIDA : mesura de govern [2000]","","text",""
"","Àrea d'Acció Social i Ciutadania. Direcció de Serveis d'Acció Social","","Barcelona","","","2008-02-29","2008","Presentada al Plenari del Consell Municipal de 29-02-2008. Citada a la Gaseta Municipal núm.14 (10-05-2008). A la contracoberta: Barcelona inclusiva i solidària.","","","application/pdf","31 p.","2928","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84565","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis socials. Benestar social","Societat i benestar","mesures de govern","","Model de Serveis Socials Bàsics : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Regidoria de Família, Infància, Usos del Temps i Discapacitats","","Barcelona","","","2013-01-22","2013","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 22-01-2013. Citada a la Gaseta Municipal núm. 10 (20-03-2013)","","","application/pdf","13 p.","10783","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84757","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Qualitat de vida. Conciliació de la vida personal i laboral. Discapacitats","Societat i benestar","mesures de govern","","Projecte Temps de barri, temps per tu : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","","","2016-02-17","2016-02","Presentada a la Comissió d'Ecologia, Urbanisme i Mobilitat de 17-02-2016","","","application/msword","35 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/88323","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Resiliència organitzativa. Gestió del risc. Desenvolupament urbà sostenible. Protecció civil. Seguretat ciutadana","Sector públic","mesures de govern","","Resiliència urbana : mesura de govern","","text",""
